row_id,x,y
demo-001,0,2.000000
demo-002,1,2.190000
demo-003,2,2.270000
demo-004,3,2.470000
demo-005,4,2.560000
demo-006,5,2.760000
demo-007,6,2.900000
demo-008,7,3.090000
demo-009,8,3.170000
demo-010,9,3.370000
demo-011,10,3.460000
demo-012,11,3.660000
demo-013,12,4.325000
demo-014,13,5.565000
demo-015,14,6.695000
demo-016,15,7.945000
demo-017,16,9.085000
demo-018,17,10.335000
demo-019,18,11.525000
demo-020,19,12.765000
demo-021,20,13.895000
demo-022,21,15.145000
demo-023,22,16.285000
demo-024,23,17.535000
demo-025,24,18.725000
demo-026,25,19.965000
demo-027,26,21.095000
demo-028,27,22.345000
demo-029,28,23.485000
demo-030,29,24.735000
