row_id,x,y
nist-thurber-001,-3.067,80.574
nist-thurber-002,-2.981,84.248
nist-thurber-003,-2.921,87.264
nist-thurber-004,-2.912,87.195
nist-thurber-005,-2.840,89.076
nist-thurber-006,-2.797,89.608
nist-thurber-007,-2.702,89.868
nist-thurber-008,-2.699,90.101
nist-thurber-009,-2.633,92.405
nist-thurber-010,-2.481,95.854
nist-thurber-011,-2.363,100.696
nist-thurber-012,-2.322,101.060
nist-thurber-013,-1.501,401.672
nist-thurber-014,-1.460,390.724
nist-thurber-015,-1.274,567.534
nist-thurber-016,-1.212,635.316
nist-thurber-017,-1.100,733.054
nist-thurber-018,-1.046,759.087
nist-thurber-019,-0.915,894.206
nist-thurber-020,-0.714,990.785
nist-thurber-021,-0.566,1090.109
nist-thurber-022,-0.545,1080.914
nist-thurber-023,-0.400,1122.643
nist-thurber-024,-0.309,1178.351
nist-thurber-025,-0.109,1260.531
nist-thurber-026,-0.103,1273.514
nist-thurber-027,0.010,1288.339
nist-thurber-028,0.119,1327.543
nist-thurber-029,0.377,1353.863
nist-thurber-030,0.790,1414.509
nist-thurber-031,0.963,1425.208
nist-thurber-032,1.006,1421.384
nist-thurber-033,1.115,1442.962
nist-thurber-034,1.572,1464.350
nist-thurber-035,1.841,1468.705
nist-thurber-036,2.047,1447.894
nist-thurber-037,2.200,1457.628
