x_group_id,grid_index,x,full_prediction,without_group_prediction,s_ref,s_ref_status,normalized_delta,status
id:x%3A0x0.0p%2B0,0,0.0,1.25,1.1802549304917136,0.6974506950828632,defined,0.1,sensitivity_only
id:x%3A0x0.0p%2B0,1,0.022,1.26408,1.2988498171974283,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,2,0.044,1.27816,1.2433901828025717,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,3,0.066,1.29224,1.3270098171974283,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,4,0.088,1.30632,1.2715501828025717,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,5,0.11,1.3204,1.3551698171974282,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,6,0.132,1.33448,1.299710182802572,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,7,0.154,1.34856,1.3833298171974282,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,8,0.176,1.36264,1.3278701828025719,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,9,0.198,1.37672,1.4114898171974282,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,10,0.22,1.3908,1.3560301828025718,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,11,0.242,1.40488,1.4396498171974281,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,12,0.264,1.41896,1.3841901828025718,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,13,0.286,1.43304,1.4678098171974283,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,14,0.308,1.44712,1.4123501828025717,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,15,0.33,1.4612,1.4959698171974283,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,16,0.352,1.47528,1.4405101828025717,0.6974506950828632,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,17,0.374,1.48936,1.5241298171974282,0.6974506950828632,defined,-0.04985272427507908,sensitivity_only
