outer_fit_id,repetition,outer_fold,status,fallback_reason,direction,family_pair,boundary,edge_hit,flat_profile,multiple_near_optima,collapsed,hard_failure
id:outer-01-fold-1,1,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-01-fold-2,1,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-01-fold-3,1,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-01-fold-4,1,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-01-fold-5,1,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-02-fold-1,2,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-02-fold-2,2,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-02-fold-3,2,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-02-fold-4,2,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-02-fold-5,2,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-03-fold-1,3,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-03-fold-2,3,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-03-fold-3,3,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-03-fold-4,3,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-03-fold-5,3,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-04-fold-1,4,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-04-fold-2,4,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-04-fold-3,4,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-04-fold-4,4,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-04-fold-5,4,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-05-fold-1,5,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-05-fold-2,5,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-05-fold-3,5,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-05-fold-4,5,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-05-fold-5,5,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-06-fold-1,6,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-06-fold-2,6,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-06-fold-3,6,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-06-fold-4,6,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-06-fold-5,6,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-07-fold-1,7,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-07-fold-2,7,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-07-fold-3,7,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-07-fold-4,7,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-07-fold-5,7,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-08-fold-1,8,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-08-fold-2,8,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-08-fold-3,8,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-08-fold-4,8,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-08-fold-5,8,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-09-fold-1,9,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-09-fold-2,9,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-09-fold-3,9,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
id:outer-09-fold-4,9,4,valid,,nondecreasing,poly1_v1|poly1_v1,5.61,false,false,false,false,false
id:outer-09-fold-5,9,5,valid,,nondecreasing,poly1_v1|poly1_v1,5.72,false,false,false,false,false
id:outer-10-fold-1,10,1,valid,,nondecreasing,poly1_v1|poly1_v1,5.28,false,false,false,false,false
id:outer-10-fold-2,10,2,valid,,nondecreasing,poly1_v1|poly1_v1,5.39,false,false,false,false,false
id:outer-10-fold-3,10,3,valid,,nondecreasing,poly1_v1|poly1_v1,5.5,false,false,false,false,false
