x_group_id,grid_index,x,full_prediction,without_group_prediction,s_ref,s_ref_status,normalized_delta,status
id:x%3A0x0.0p%2B0,0,0.0,1.25,0.9905929394001153,2.594070605998847,defined,0.1,sensitivity_only
id:x%3A0x0.0p%2B0,1,0.018,1.26152,1.3908407349832057,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,2,0.036,1.27304,1.1437192650167942,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,3,0.054,1.28456,1.4138807349832057,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,4,0.072,1.29608,1.1667592650167942,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,5,0.09,1.3076,1.4369207349832058,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,6,0.108,1.31912,1.1897992650167943,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,7,0.126,1.33064,1.4599607349832058,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,8,0.144,1.34216,1.2128392650167943,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,9,0.162,1.35368,1.4830007349832057,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,10,0.18,1.3652,1.2358792650167942,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,11,0.198,1.37672,1.5060407349832057,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,12,0.216,1.38824,1.2589192650167942,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,13,0.234,1.3997600000000001,1.5290807349832058,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,14,0.252,1.41128,1.2819592650167944,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,15,0.27,1.4228,1.5521207349832058,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,16,0.288,1.43432,1.3049992650167943,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,17,0.306,1.44584,1.5751607349832057,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,18,0.324,1.45736,1.3280392650167943,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,19,0.342,1.46888,1.5982007349832057,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,20,0.36,1.4804,1.3510792650167942,2.594070605998847,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,21,0.378,1.49192,1.6212407349832056,2.594070605998847,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,22,0.396,1.5034399999999999,1.3741192650167942,2.594070605998847,defined,0.049852434503574676,sensitivity_only
