row_id,source_row_id,x,y,x_group_id,input_status,input_reason,pred_null_oof,pred_one_oof,resid_one_oof,pred_two_oof,resid_two_oof,p2_oof_fallback_code,pred_one_refit,pred_two_refit,segment_refit,residual_flags,influence_flags,robust_scale,z_median,score_median_abs_z,flag_rate,appearance_count,refit_residual,influence_dmax,influence_drms,influence_delta_c,action
id:row-01,id:2,0.0,2.0,id:x%3A0x0.0p%2B0,USED,,5.588888888888889,5.931430801648192,-3.9314308016481916,5.898531220730743,-3.898531220730743,,1.25,1.75,left,,,2.594070605998847,-1.5155450250878557,1.5155450250878557,0.0,10,0.75,0.1,0.05,0.01,review_only
id:row-02,id:3,1.0,5.0,id:x%3A0x1.0000000000000p%2B0,USED,,5.2555555555555555,5.279947084947085,-0.27994708494708487,5.277604390330672,-0.27760439033067213,,1.8900000000000001,2.07,left,,,2.3582460054534993,-0.11870987348211368,0.11870987348211368,0.0,10,3.11,0.09555555555555556,0.04777777777777778,0.01,review_only
id:row-03,id:4,2.0,1.0,id:x%3A0x1.0000000000000p%2B1,USED,,5.699999999999999,6.14859204054856,-5.14859204054856,6.1055068308641,-5.1055068308641,,2.5300000000000002,2.39,left,,,2.3582460054534997,-2.1832294123014813,2.1832294123014813,0.0,10,-1.5300000000000002,0.09111111111111111,0.04555555555555556,0.01,review_only
id:row-04,id:5,3.0,6.0,id:x%3A0x1.8000000000000p%2B1,USED,,5.144444444444444,5.062785846046715,0.9372141539532848,5.070628780197314,0.9293712198026856,,3.17,2.71,left,,,2.3582460054534997,0.39742001122272863,0.39742001122272863,0.0,10,2.83,0.08666666666666667,0.043333333333333335,0.01,review_only
id:row-05,id:6,4.0,2.4,id:x%3A0x1.0000000000000p%2B2,USED,,5.544444444444444,5.844566306088044,-3.4445663060880443,5.8157409766774,-3.4157409766774007,,3.81,3.0300000000000002,left,,,2.358246005453502,-1.4606475737147016,1.4606475737147016,0.0,10,-1.4100000000000001,0.08222222222222222,0.04111111111111111,0.01,review_only
id:row-06,id:7,5.0,20.0,id:x%3A0x1.4000000000000p%2B2,USED,,3.5888888888888886,2.022528501441549,17.97747149855845,2.172970238330315,17.827029761669685,,4.45,3.35,left,LARGE_OOF_RESIDUAL,,1.8865968043627994,9.529047996363147,9.529047996363147,1.0,10,15.55,0.08222222222222222,0.04111111111111111,0.01,review_only
id:row-07,id:8,6.0,1.8,id:x%3A0x1.8000000000000p%2B2,USED,,5.611111111111111,5.974863049428265,-4.174863049428265,5.939926342757414,-4.1399263427574144,,5.09,4.0,right,,,2.594070605998847,-1.6093868223069179,1.6093868223069179,0.0,10,-3.29,0.08666666666666667,0.043333333333333335,0.01,review_only
id:row-08,id:9,7.0,6.5,id:x%3A0x1.c000000000000p%2B2,USED,,5.088888888888889,4.954205226596531,1.545794773403469,4.967140975130636,1.5328590248693639,,5.73,4.9799999999999995,right,,,2.3582460054534993,0.6554849535751496,0.6554849535751496,0.0,10,0.7699999999999996,0.09111111111111111,0.04555555555555556,0.01,review_only
id:row-09,id:10,8.0,2.1,id:x%3A0x1.0000000000000p%2B3,USED,,5.577777777777778,5.909714677758156,-3.809714677758156,5.877833659717409,-3.7778336597174085,,6.37,5.96,right,,,2.358246005453502,-1.6154865391261544,1.6154865391261544,0.0,10,-4.27,0.09555555555555556,0.04777777777777778,0.01,review_only
id:row-10,id:11,9.0,5.5,id:x%3A0x1.2000000000000p%2B3,USED,,5.199999999999999,5.1713664654969,0.3286335345031004,5.1741165852639925,0.32588341473600724,,7.01,6.9399999999999995,right,,,2.358246005453502,0.13935506887030755,0.13935506887030755,0.0,10,-1.5099999999999998,0.1,0.05,0.01,review_only
