row_id,source_row_id,x,y,x_group_id,input_status,input_reason,pred_null_oof,pred_one_oof,resid_one_oof,pred_two_oof,resid_two_oof,p2_oof_fallback_code,pred_one_refit,pred_two_refit,segment_refit,residual_flags,influence_flags,robust_scale,z_median,score_median_abs_z,flag_rate,appearance_count,refit_residual,influence_dmax,influence_drms,influence_delta_c,action
id:row-01,id:2,0.0,1.3,id:x%3A0x0.0p%2B0,USED,,4.970909090909091,2.8574348267806977,-1.5574348267806977,2.900112175819749,-1.6001121758197487,,1.25,1.75,left,,,0.6974506950828632,-2.2330393212894584,2.2330393212894584,0.0,10,0.050000000000000044,0.1,0.05,0.01,review_only
id:row-02,id:3,1.0,1.78,id:x%3A0x1.0000000000000p%2B0,USED,,4.927272727272727,3.115274732618815,-1.3352747326188148,3.1518643765943457,-1.371864376594346,,1.8900000000000001,2.07,left,,,0.6974506950828632,-1.914507709337321,1.914507709337321,0.0,10,-0.1100000000000001,0.09636363636363637,0.04818181818181819,0.01,review_only
id:row-03,id:4,2.0,2.41,id:x%3A0x1.0000000000000p%2B1,USED,,4.87,3.4536896090313443,-1.0436896090313443,3.4822891401110057,-1.0722891401110055,,2.5300000000000002,2.39,left,,,0.8859508829430963,-1.1780445497884102,1.1780445497884102,0.0,10,-0.1200000000000001,0.09272727272727273,0.046363636363636364,0.01,review_only
id:row-04,id:5,3.0,3.19,id:x%3A0x1.8000000000000p%2B1,USED,,4.799090909090909,3.872679456018285,-0.682679456018285,3.891386466369726,-0.7013864663697263,,3.17,2.71,left,,,0.7917007890129799,-0.8622947778912627,0.8622947778912627,0.0,10,0.020000000000000018,0.0890909090909091,0.04454545454545455,0.01,review_only
id:row-05,id:6,4.0,3.67,id:x%3A0x1.0000000000000p%2B2,USED,,4.755454545454546,4.130519361856402,-0.46051936185640263,4.143138667144324,-0.4731386671443241,,3.81,3.0300000000000002,left,,,0.6974506950828632,-0.6602894872757836,0.6602894872757836,0.0,10,-0.14000000000000012,0.08545454545454545,0.042727272727272725,0.01,review_only
id:row-06,id:7,5.0,4.3,id:x%3A0x1.4000000000000p%2B2,USED,,4.698181818181818,4.468934238268932,-0.16893423826893164,4.473563430660983,-0.17356343066098326,,4.45,3.35,left,,,0.7917007890129799,-0.21338141961377025,0.21338141961377025,0.0,10,-0.15000000000000036,0.08181818181818182,0.04090909090909091,0.01,review_only
id:row-07,id:8,6.0,5.08,id:x%3A0x1.8000000000000p%2B2,USED,,4.627272727272727,4.8879240852558725,0.1920759147441278,4.882660756919704,0.19733924308029607,,5.09,4.0,right,,,0.6974506950828632,0.2753971228336184,0.2753971228336184,0.0,10,-0.009999999999999787,0.08181818181818182,0.04090909090909091,0.01,review_only
id:row-08,id:9,7.0,5.5600000000000005,id:x%3A0x1.c000000000000p%2B2,USED,,4.583636363636364,5.1457639910939905,0.4142360089060103,5.134412957694302,0.4255870423056985,,5.73,4.9799999999999995,right,,,0.6769964193788804,0.6118732640950402,0.6118732640950402,0.0,10,-0.16999999999999993,0.08545454545454545,0.042727272727272725,0.01,review_only
id:row-09,id:10,8.0,6.19,id:x%3A0x1.0000000000000p%2B3,USED,,4.526363636363636,5.484178867506519,0.7058211324934813,5.464837721210961,0.7251622787890394,,6.37,5.96,right,,,0.6431458022526569,1.097451200056504,1.097451200056504,0.0,10,-0.17999999999999972,0.0890909090909091,0.04454545454545455,0.01,review_only
id:row-10,id:11,9.0,6.97,id:x%3A0x1.2000000000000p%2B3,USED,,4.455454545454545,5.903168714493459,1.0668312855065405,5.873935047469681,1.0960649525303183,,7.01,6.9399999999999995,right,,,0.5747260360555662,1.8562431812353046,1.8562431812353046,0.0,10,-0.040000000000000036,0.09272727272727273,0.046363636363636364,0.01,review_only
id:row-11,id:12,10.0,7.45,id:x%3A0x1.4000000000000p%2B3,USED,,4.411818181818182,6.161008620331577,1.288991379668423,6.1256872482442795,1.3243127517557207,,7.65,7.92,right,,,0.6769964193788804,1.9039855201169684,1.9039855201169684,0.0,10,-0.20000000000000018,0.09636363636363637,0.04818181818181819,0.01,review_only
id:row-12,id:13,11.0,8.079999999999998,id:x%3A0x1.6000000000000p%2B3,USED,,4.3545454545454545,6.499423496744106,1.5805765032558932,6.456112011760937,1.6238879882390609,,8.29,8.899999999999999,right,,,0.5747260360555659,2.750139029899594,2.750139029899594,0.0,10,-0.21000000000000085,0.1,0.05,0.01,review_only
