trace_id,row_id,procedure,training_row_id,training_x_group_id,sample_residual,center_median,estimator,bin_count,target_bin_id,in_target_bin,raw_local_scale,local_floor,computed_scale,zero_tolerance,scale_status,scale_reason
id:scale-one%3Arow-01%3A001,id:row-01,one,id:row-02,id:x%3A0x1.0000000000000p%2B0,3.507402885326977,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A002,id:row-01,one,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.0652112466548596,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A003,id:row-01,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,-1.0318074096517456,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A004,id:row-01,one,id:row-05,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A005,id:row-01,one,id:row-06,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A006,id:row-01,one,id:row-07,id:x%3A0x1.8000000000000p%2B1,-0.6680767400622812,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A007,id:row-01,one,id:row-08,id:x%3A0x1.0000000000000p%2B2,-0.03637306695894658,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A008,id:row-01,one,id:row-09,id:x%3A0x1.4000000000000p%2B2,0.1922576396401457,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A009,id:row-01,one,id:row-10,id:x%3A0x1.8000000000000p%2B2,0.649519052838329,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-01%3A010,id:row-01,one,id:row-11,id:x%3A0x1.c000000000000p%2B2,0.8781497594374211,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A001,id:row-01,two,id:row-02,id:x%3A0x1.0000000000000p%2B0,3.507402885326977,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A002,id:row-01,two,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.0652112466548596,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A003,id:row-01,two,id:row-04,id:x%3A0x1.8000000000000p%2B1,-1.0318074096517456,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A004,id:row-01,two,id:row-05,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A005,id:row-01,two,id:row-06,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A006,id:row-01,two,id:row-07,id:x%3A0x1.8000000000000p%2B1,-0.6680767400622812,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A007,id:row-01,two,id:row-08,id:x%3A0x1.0000000000000p%2B2,-0.03637306695894658,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A008,id:row-01,two,id:row-09,id:x%3A0x1.4000000000000p%2B2,0.1922576396401457,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A009,id:row-01,two,id:row-10,id:x%3A0x1.8000000000000p%2B2,0.649519052838329,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-two%3Arow-01%3A010,id:row-01,two,id:row-11,id:x%3A0x1.c000000000000p%2B2,0.8781497594374211,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.104336015201135,0.5521680076005675,1.104336015201135,1.4210854715202004e-13,defined,
id:scale-one%3Arow-02%3A001,id:row-02,one,id:row-01,id:x%3A0x0.0p%2B0,-1.6367880131525894,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A002,id:row-02,one,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.0652112466548596,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A003,id:row-02,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,-1.0318074096517456,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A004,id:row-02,one,id:row-05,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A005,id:row-02,one,id:row-06,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A006,id:row-02,one,id:row-07,id:x%3A0x1.8000000000000p%2B1,-0.6680767400622812,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A007,id:row-02,one,id:row-08,id:x%3A0x1.0000000000000p%2B2,-0.03637306695894658,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A008,id:row-02,one,id:row-09,id:x%3A0x1.4000000000000p%2B2,0.1922576396401457,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A009,id:row-02,one,id:row-10,id:x%3A0x1.8000000000000p%2B2,0.649519052838329,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-02%3A010,id:row-02,one,id:row-11,id:x%3A0x1.c000000000000p%2B2,0.8781497594374211,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A001,id:row-02,two,id:row-01,id:x%3A0x0.0p%2B0,-1.6367880131525894,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A002,id:row-02,two,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.0652112466548596,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A003,id:row-02,two,id:row-04,id:x%3A0x1.8000000000000p%2B1,-1.0318074096517456,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A004,id:row-02,two,id:row-05,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A005,id:row-02,two,id:row-06,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A006,id:row-02,two,id:row-07,id:x%3A0x1.8000000000000p%2B1,-0.6680767400622812,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A007,id:row-02,two,id:row-08,id:x%3A0x1.0000000000000p%2B2,-0.03637306695894658,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A008,id:row-02,two,id:row-09,id:x%3A0x1.4000000000000p%2B2,0.1922576396401457,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A009,id:row-02,two,id:row-10,id:x%3A0x1.8000000000000p%2B2,0.649519052838329,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-two%3Arow-02%3A010,id:row-02,two,id:row-11,id:x%3A0x1.c000000000000p%2B2,0.8781497594374211,-0.7979805506299471,qn_finite_sample,1,id:bin-1,true,0.9740626108105254,0.4870313054052627,0.9740626108105254,7.673861546209083e-14,defined,
id:scale-one%3Arow-03%3A001,id:row-03,one,id:row-01,id:x%3A0x0.0p%2B0,-1.6367880131525894,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A002,id:row-03,one,id:row-02,id:x%3A0x1.0000000000000p%2B0,3.507402885326977,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A003,id:row-03,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,-1.0318074096517456,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A004,id:row-03,one,id:row-05,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A005,id:row-03,one,id:row-06,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A006,id:row-03,one,id:row-07,id:x%3A0x1.8000000000000p%2B1,-0.6680767400622812,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A007,id:row-03,one,id:row-08,id:x%3A0x1.0000000000000p%2B2,-0.03637306695894658,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A008,id:row-03,one,id:row-09,id:x%3A0x1.4000000000000p%2B2,0.1922576396401457,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A009,id:row-03,one,id:row-10,id:x%3A0x1.8000000000000p%2B2,0.649519052838329,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-03%3A010,id:row-03,one,id:row-11,id:x%3A0x1.c000000000000p%2B2,0.8781497594374211,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A001,id:row-03,two,id:row-01,id:x%3A0x0.0p%2B0,-1.6367880131525894,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A002,id:row-03,two,id:row-02,id:x%3A0x1.0000000000000p%2B0,3.507402885326977,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A003,id:row-03,two,id:row-04,id:x%3A0x1.8000000000000p%2B1,-1.0318074096517456,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A004,id:row-03,two,id:row-05,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A005,id:row-03,two,id:row-06,id:x%3A0x1.8000000000000p%2B1,-0.9278843611976129,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A006,id:row-03,two,id:row-07,id:x%3A0x1.8000000000000p%2B1,-0.6680767400622812,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A007,id:row-03,two,id:row-08,id:x%3A0x1.0000000000000p%2B2,-0.03637306695894658,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A008,id:row-03,two,id:row-09,id:x%3A0x1.4000000000000p%2B2,0.1922576396401457,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A009,id:row-03,two,id:row-10,id:x%3A0x1.8000000000000p%2B2,0.649519052838329,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-two%3Arow-03%3A010,id:row-03,two,id:row-11,id:x%3A0x1.c000000000000p%2B2,0.8781497594374211,-0.3522249035106139,qn_finite_sample,1,id:bin-1,true,1.1413862494773641,0.5706931247386821,1.1413862494773641,1.4210854715202004e-13,defined,
id:scale-one%3Arow-04%3A001,id:row-04,one,id:row-01,id:x%3A0x0.0p%2B0,-1.6367880131525894,0.1922576396401457,qn_finite_sample,1,id:bin-1,true,1.3060540317377747,0.6530270158688873,1.3060540317377747,1.4210854715202004e-13,defined,
