appearance_id,repetition,outer_fold_id,row_id,x_group_id,y,pred_null_oof,pred_one_oof,resid_one_oof,pred_two_oof,resid_two_oof,scale_one_oof,z_one_oof,scale_two_oof,z_two_oof,p2_attempt_status,fallback_code
id:rep-001%3Arow-01,1,id:outer-01-fold-1,id:row-01,id:x%3A0x0.0p%2B0,1.0,4.15,2.6367880131525894,-1.6367880131525894,2.6367880131525894,-1.6367880131525894,1.104336015201135,-1.4821467294575899,1.104336015201135,-1.4821467294575899,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-02,1,id:outer-01-fold-2,id:row-02,id:x%3A0x1.0000000000000p%2B0,10.0,3.25,6.492597114673023,3.507402885326977,6.492597114673023,3.507402885326977,0.9740626108105254,3.6007981893570875,0.9740626108105254,3.6007981893570875,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-03,1,id:outer-01-fold-3,id:row-03,id:x%3A0x1.0000000000000p%2B1,2.0,4.05,3.06521124665486,-1.0652112466548596,3.06521124665486,-1.0652112466548596,1.1413862494773641,-0.9332609772919687,1.1413862494773641,-0.9332609772919687,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-04,1,id:outer-01-fold-4,id:row-04,id:x%3A0x1.8000000000000p%2B1,2.5,4.485714285714286,3.5318074096517456,-1.0318074096517456,3.5318074096517456,-1.0318074096517456,1.3060540317377747,-0.7900189307473525,1.3060540317377747,-0.7900189307473525,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-05,1,id:outer-01-fold-1,id:row-05,id:x%3A0x1.8000000000000p%2B1,2.7,4.485714285714286,3.627884361197613,-0.9278843611976129,3.627884361197613,-0.9278843611976129,1.3060540317377747,-0.7104486787296335,1.3060540317377747,-0.7104486787296335,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-06,1,id:outer-01-fold-2,id:row-06,id:x%3A0x1.8000000000000p%2B1,2.7,4.485714285714286,3.627884361197613,-0.9278843611976129,3.627884361197613,-0.9278843611976129,1.3060540317377747,-0.7104486787296335,1.3060540317377747,-0.7104486787296335,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-07,1,id:outer-01-fold-3,id:row-07,id:x%3A0x1.8000000000000p%2B1,3.2,4.485714285714286,3.8680767400622815,-0.6680767400622812,3.8680767400622815,-0.6680767400622812,1.3060540317377747,-0.5115230486853362,1.3060540317377747,-0.5115230486853362,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-08,1,id:outer-01-fold-4,id:row-08,id:x%3A0x1.0000000000000p%2B2,3.8,3.87,3.8363730669589464,-0.03637306695894658,3.8363730669589464,-0.03637306695894658,1.104336015201135,-0.03293659398794657,1.104336015201135,-0.03293659398794657,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-09,1,id:outer-01-fold-1,id:row-09,id:x%3A0x1.4000000000000p%2B2,4.2,3.8299999999999996,4.007742360359854,0.1922576396401457,4.007742360359854,0.1922576396401457,1.1043360152011354,0.17409342536485992,1.1043360152011354,0.17409342536485992,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-10,1,id:outer-01-fold-2,id:row-10,id:x%3A0x1.8000000000000p%2B2,5.0,3.75,4.350480947161671,0.649519052838329,4.350480947161671,0.649519052838329,1.104336015201135,0.588153464070472,1.104336015201135,0.588153464070472,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-001%3Arow-11,1,id:outer-01-fold-3,id:row-11,id:x%3A0x1.c000000000000p%2B2,5.4,3.71,4.521850240562579,0.8781497594374211,4.521850240562579,0.8781497594374211,1.0170886893248545,0.8633954626123497,1.0170886893248545,0.8633954626123497,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-01,2,id:outer-02-fold-2,id:row-01,id:x%3A0x0.0p%2B0,1.0,4.15,2.6367880131525894,-1.6367880131525894,2.6367880131525894,-1.6367880131525894,1.104336015201135,-1.4821467294575899,1.104336015201135,-1.4821467294575899,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-02,2,id:outer-02-fold-3,id:row-02,id:x%3A0x1.0000000000000p%2B0,10.0,3.25,6.492597114673023,3.507402885326977,6.492597114673023,3.507402885326977,0.9740626108105254,3.6007981893570875,0.9740626108105254,3.6007981893570875,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-03,2,id:outer-02-fold-4,id:row-03,id:x%3A0x1.0000000000000p%2B1,2.0,4.05,3.06521124665486,-1.0652112466548596,3.06521124665486,-1.0652112466548596,1.1413862494773641,-0.9332609772919687,1.1413862494773641,-0.9332609772919687,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-04,2,id:outer-02-fold-1,id:row-04,id:x%3A0x1.8000000000000p%2B1,2.5,4.485714285714286,3.5318074096517456,-1.0318074096517456,3.5318074096517456,-1.0318074096517456,1.3060540317377747,-0.7900189307473525,1.3060540317377747,-0.7900189307473525,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-05,2,id:outer-02-fold-2,id:row-05,id:x%3A0x1.8000000000000p%2B1,2.7,4.485714285714286,3.627884361197613,-0.9278843611976129,3.627884361197613,-0.9278843611976129,1.3060540317377747,-0.7104486787296335,1.3060540317377747,-0.7104486787296335,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-06,2,id:outer-02-fold-3,id:row-06,id:x%3A0x1.8000000000000p%2B1,2.7,4.485714285714286,3.627884361197613,-0.9278843611976129,3.627884361197613,-0.9278843611976129,1.3060540317377747,-0.7104486787296335,1.3060540317377747,-0.7104486787296335,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-07,2,id:outer-02-fold-4,id:row-07,id:x%3A0x1.8000000000000p%2B1,3.2,4.485714285714286,3.8680767400622815,-0.6680767400622812,3.8680767400622815,-0.6680767400622812,1.3060540317377747,-0.5115230486853362,1.3060540317377747,-0.5115230486853362,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-08,2,id:outer-02-fold-1,id:row-08,id:x%3A0x1.0000000000000p%2B2,3.8,3.87,3.8363730669589464,-0.03637306695894658,3.8363730669589464,-0.03637306695894658,1.104336015201135,-0.03293659398794657,1.104336015201135,-0.03293659398794657,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-09,2,id:outer-02-fold-2,id:row-09,id:x%3A0x1.4000000000000p%2B2,4.2,3.8299999999999996,4.007742360359854,0.1922576396401457,4.007742360359854,0.1922576396401457,1.1043360152011354,0.17409342536485992,1.1043360152011354,0.17409342536485992,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-10,2,id:outer-02-fold-3,id:row-10,id:x%3A0x1.8000000000000p%2B2,5.0,3.75,4.350480947161671,0.649519052838329,4.350480947161671,0.649519052838329,1.104336015201135,0.588153464070472,1.104336015201135,0.588153464070472,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-002%3Arow-11,2,id:outer-02-fold-4,id:row-11,id:x%3A0x1.c000000000000p%2B2,5.4,3.71,4.521850240562579,0.8781497594374211,4.521850240562579,0.8781497594374211,1.0170886893248545,0.8633954626123497,1.0170886893248545,0.8633954626123497,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-003%3Arow-01,3,id:outer-03-fold-3,id:row-01,id:x%3A0x0.0p%2B0,1.0,4.15,2.6367880131525894,-1.6367880131525894,2.6367880131525894,-1.6367880131525894,1.104336015201135,-1.4821467294575899,1.104336015201135,-1.4821467294575899,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-003%3Arow-02,3,id:outer-03-fold-4,id:row-02,id:x%3A0x1.0000000000000p%2B0,10.0,3.25,6.492597114673023,3.507402885326977,6.492597114673023,3.507402885326977,0.9740626108105254,3.6007981893570875,0.9740626108105254,3.6007981893570875,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-003%3Arow-03,3,id:outer-03-fold-1,id:row-03,id:x%3A0x1.0000000000000p%2B1,2.0,4.05,3.06521124665486,-1.0652112466548596,3.06521124665486,-1.0652112466548596,1.1413862494773641,-0.9332609772919687,1.1413862494773641,-0.9332609772919687,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-003%3Arow-04,3,id:outer-03-fold-2,id:row-04,id:x%3A0x1.8000000000000p%2B1,2.5,4.485714285714286,3.5318074096517456,-1.0318074096517456,3.5318074096517456,-1.0318074096517456,1.3060540317377747,-0.7900189307473525,1.3060540317377747,-0.7900189307473525,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-003%3Arow-05,3,id:outer-03-fold-3,id:row-05,id:x%3A0x1.8000000000000p%2B1,2.7,4.485714285714286,3.627884361197613,-0.9278843611976129,3.627884361197613,-0.9278843611976129,1.3060540317377747,-0.7104486787296335,1.3060540317377747,-0.7104486787296335,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-003%3Arow-06,3,id:outer-03-fold-4,id:row-06,id:x%3A0x1.8000000000000p%2B1,2.7,4.485714285714286,3.627884361197613,-0.9278843611976129,3.627884361197613,-0.9278843611976129,1.3060540317377747,-0.7104486787296335,1.3060540317377747,-0.7104486787296335,failed_with_p1_fallback,NO_BALANCED_SPLIT
id:rep-003%3Arow-07,3,id:outer-03-fold-1,id:row-07,id:x%3A0x1.8000000000000p%2B1,3.2,4.485714285714286,3.8680767400622815,-0.6680767400622812,3.8680767400622815,-0.6680767400622812,1.3060540317377747,-0.5115230486853362,1.3060540317377747,-0.5115230486853362,failed_with_p1_fallback,NO_BALANCED_SPLIT
