appearance_id,repetition,outer_fold_id,row_id,x_group_id,procedure,y,prediction_oof,residual_oof,robust_scale,scale_method,scale_scope,z_oof,fallback_status,fallback_code,action
id:diag-one-rep-001%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,1,id:outer-01-fold-1,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,id:x%3A0x0.0p%2B0,one,1.3,3.242462508014331,-1.9424625080143305,0.8698738483891382,qn_finite_sample,outer_train_inner_oof,-2.233039321289459,not_applicable,,review_only
id:diag-two-rep-001%3A%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,1,id:outer-01-fold-1,id:%3Cimg%20src%3Dx%20onerror%3D%22alert%281%29%22%3E,id:x%3A0x0.0p%2B0,two,1.3,3.225040967686851,-1.925040967686851,0.8620721316162245,qn_finite_sample,outer_train_inner_oof,-2.233039321289459,succeeded,,review_only
id:diag-one-rep-001%3Arow-02,1,id:outer-01-fold-2,id:row-02,id:x%3A0x1.0000000000000p%2B0,one,1.78,3.4453801888919293,-1.6653801888919293,0.8698738483891386,qn_finite_sample,outer_train_inner_oof,-1.9145077093373204,not_applicable,,review_only
id:diag-two-rep-001%3Arow-02,1,id:outer-01-fold-2,id:row-02,id:x%3A0x1.0000000000000p%2B0,two,1.78,3.43044374198412,-1.65044374198412,0.8620721316162248,qn_finite_sample,outer_train_inner_oof,-1.914507709337321,succeeded,,review_only
id:diag-one-rep-001%3Arow-03,1,id:outer-01-fold-3,id:row-03,id:x%3A0x1.0000000000000p%2B1,one,2.41,3.7117096450437788,-1.3017096450437786,1.1049748884943107,qn_finite_sample,outer_train_inner_oof,-1.1780445497884098,not_applicable,,review_only
id:diag-two-rep-001%3Arow-03,1,id:outer-01-fold-3,id:row-03,id:x%3A0x1.0000000000000p%2B1,two,2.41,3.7000348832492866,-1.2900348832492865,1.0950645996206096,qn_finite_sample,outer_train_inner_oof,-1.17804454978841,succeeded,,review_only
id:diag-one-rep-001%3Arow-04,1,id:outer-01-fold-4,id:row-04,id:x%3A0x1.8000000000000p%2B1,one,3.19,4.041450876469877,-0.8514508764698773,0.9874243684417244,qn_finite_sample,outer_train_inner_oof,-0.8622947778912629,not_applicable,,review_only
id:diag-two-rep-001%3Arow-04,1,id:outer-01-fold-4,id:row-04,id:x%3A0x1.8000000000000p%2B1,two,3.19,4.033814391482349,-0.8438143914823492,0.9785683656184171,qn_finite_sample,outer_train_inner_oof,-0.862294777891263,succeeded,,review_only
id:diag-one-rep-001%3Arow-05,1,id:outer-01-fold-5,id:row-05,id:x%3A0x1.0000000000000p%2B2,one,3.67,4.244368557347476,-0.5743685573474768,0.8698738483891386,qn_finite_sample,outer_train_inner_oof,-0.6602894872757833,not_applicable,,review_only
id:diag-two-rep-001%3Arow-05,1,id:outer-01-fold-5,id:row-05,id:x%3A0x1.0000000000000p%2B2,two,3.67,4.2392171657796185,-0.5692171657796189,0.8620721316162248,qn_finite_sample,outer_train_inner_oof,-0.6602894872757836,succeeded,,review_only
id:diag-one-rep-001%3Arow-06,1,id:outer-01-fold-1,id:row-06,id:x%3A0x1.4000000000000p%2B2,one,4.3,4.510698013499326,-0.2106980134993257,0.9874243684417244,qn_finite_sample,outer_train_inner_oof,-0.21338141961377027,not_applicable,,review_only
id:diag-two-rep-001%3Arow-06,1,id:outer-01-fold-1,id:row-06,id:x%3A0x1.4000000000000p%2B2,two,4.3,4.508808307044784,-0.20880830704478487,0.9785683656184171,qn_finite_sample,outer_train_inner_oof,-0.21338141961377033,succeeded,,review_only
id:diag-one-rep-001%3Arow-07,1,id:outer-01-fold-2,id:row-07,id:x%3A0x1.8000000000000p%2B2,one,5.08,4.840439244925424,0.23956075507457586,0.8698738483891382,qn_finite_sample,outer_train_inner_oof,0.27539712283361845,not_applicable,,review_only
id:diag-two-rep-001%3Arow-07,1,id:outer-01-fold-2,id:row-07,id:x%3A0x1.8000000000000p%2B2,two,5.08,4.842587815277847,0.2374121847221527,0.8620721316162245,qn_finite_sample,outer_train_inner_oof,0.27539712283361845,succeeded,,review_only
id:diag-one-rep-001%3Arow-08,1,id:outer-01-fold-3,id:row-08,id:x%3A0x1.c000000000000p%2B2,one,5.5600000000000005,5.043356925803024,0.5166430741969765,0.8443628844628325,qn_finite_sample,outer_train_inner_oof,0.6118732640950401,not_applicable,,review_only
id:diag-two-rep-001%3Arow-08,1,id:outer-01-fold-3,id:row-08,id:x%3A0x1.c000000000000p%2B2,two,5.5600000000000005,5.047990589575117,0.5120094104248832,0.8367899701944723,qn_finite_sample,outer_train_inner_oof,0.6118732640950403,succeeded,,review_only
id:diag-one-rep-001%3Arow-09,1,id:outer-01-fold-4,id:row-09,id:x%3A0x1.0000000000000p%2B3,one,6.19,5.309686381954872,0.8803136180451276,0.8021437472571021,qn_finite_sample,outer_train_inner_oof,1.0974512000565038,not_applicable,,review_only
id:diag-two-rep-001%3Arow-09,1,id:outer-01-fold-4,id:row-09,id:x%3A0x1.0000000000000p%2B3,two,6.19,5.317581730840283,0.8724182691597172,0.7949494876080134,qn_finite_sample,outer_train_inner_oof,1.097451200056504,succeeded,,review_only
id:diag-one-rep-001%3Arow-10,1,id:outer-01-fold-5,id:row-10,id:x%3A0x1.2000000000000p%2B3,one,6.97,5.63942761338097,1.3305723866190289,0.7168093060595385,qn_finite_sample,outer_train_inner_oof,1.8562431812353046,not_applicable,,review_only
id:diag-two-rep-001%3Arow-10,1,id:outer-01-fold-5,id:row-10,id:x%3A0x1.2000000000000p%2B3,two,6.97,5.651361239073346,1.3186387609266543,0.7103803931816296,qn_finite_sample,outer_train_inner_oof,1.8562431812353042,succeeded,,review_only
id:diag-one-rep-001%3Arow-11,1,id:outer-01-fold-1,id:row-11,id:x%3A0x1.4000000000000p%2B3,one,7.45,5.842345294258571,1.6076547057414294,0.8443628844628325,qn_finite_sample,outer_train_inner_oof,1.903985520116968,not_applicable,,review_only
id:diag-two-rep-001%3Arow-11,1,id:outer-01-fold-1,id:row-11,id:x%3A0x1.4000000000000p%2B3,two,7.45,5.856764013370615,1.5932359866293848,0.8367899701944723,qn_finite_sample,outer_train_inner_oof,1.9039855201169684,succeeded,,review_only
id:diag-one-rep-001%3Arow-12,1,id:outer-01-fold-2,id:row-12,id:x%3A0x1.6000000000000p%2B3,one,8.079999999999998,6.108674750410419,1.9713252495895797,0.7168093060595381,qn_finite_sample,outer_train_inner_oof,2.7501390298995947,not_applicable,,review_only
id:diag-two-rep-001%3Arow-12,1,id:outer-01-fold-2,id:row-12,id:x%3A0x1.6000000000000p%2B3,two,8.079999999999998,6.12635515463578,1.953644845364218,0.710380393181629,qn_finite_sample,outer_train_inner_oof,2.7501390298995947,succeeded,,review_only
