x_group_id,grid_index,x,full_prediction,without_group_prediction,s_ref,s_ref_status,normalized_delta,status
id:x%3A0x0.0p%2B0,0,0.0,1.25,1.1630126151610862,0.8698738483891382,defined,0.1,sensitivity_only
id:x%3A0x0.0p%2B0,1,0.022,1.26408,1.3074455811178458,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,2,0.044,1.27816,1.2347944188821542,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,3,0.066,1.29224,1.3356055811178458,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,4,0.088,1.30632,1.2629544188821542,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,5,0.11,1.3204,1.3637655811178457,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,6,0.132,1.33448,1.2911144188821544,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,7,0.154,1.34856,1.3919255811178457,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,8,0.176,1.36264,1.3192744188821544,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,9,0.198,1.37672,1.4200855811178457,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,10,0.22,1.3908,1.3474344188821543,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,11,0.242,1.40488,1.4482455811178456,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,12,0.264,1.41896,1.3755944188821543,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,13,0.286,1.43304,1.4764055811178458,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,14,0.308,1.44712,1.4037544188821542,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,15,0.33,1.4612,1.5045655811178458,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,16,0.352,1.47528,1.4319144188821542,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,17,0.374,1.48936,1.5327255811178457,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,18,0.396,1.5034399999999999,1.4600744188821542,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,19,0.418,1.51752,1.5608855811178457,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,20,0.44,1.5316,1.4882344188821544,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,21,0.462,1.54568,1.5890455811178457,0.8698738483891382,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,22,0.484,1.55976,1.5163944188821543,0.8698738483891382,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,23,0.506,1.5738400000000001,1.6172055811178458,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,24,0.528,1.58792,1.5445544188821543,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,25,0.55,1.602,1.6453655811178458,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,26,0.572,1.61608,1.5727144188821542,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,27,0.594,1.63016,1.6735255811178458,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,28,0.616,1.64424,1.6008744188821542,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,29,0.638,1.65832,1.7016855811178457,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,30,0.66,1.6724,1.6290344188821544,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,31,0.682,1.68648,1.7298455811178457,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,32,0.704,1.7005599999999998,1.6571944188821541,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,33,0.726,1.71464,1.7580055811178457,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,34,0.748,1.72872,1.6853544188821543,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,35,0.77,1.7428,1.7861655811178456,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,36,0.792,1.75688,1.7135144188821543,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,37,0.814,1.77096,1.8143255811178458,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,38,0.836,1.78504,1.7416744188821542,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,39,0.858,1.79912,1.8424855811178458,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,40,0.88,1.8132000000000001,1.7698344188821544,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,41,0.902,1.82728,1.8706455811178457,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,42,0.924,1.8413599999999999,1.7979944188821542,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,43,0.946,1.85544,1.8988055811178457,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,44,0.968,1.86952,1.8261544188821544,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,45,0.99,1.8836,1.9269655811178457,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,46,1.0,1.8900000000000001,1.8466344188821544,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,47,1.012,1.89768,1.9410455811178458,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,48,1.034,1.9117600000000001,1.8683944188821544,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,49,1.056,1.92584,1.9692055811178457,0.8698738483891386,defined,-0.04985272427507908,sensitivity_only
id:x%3A0x0.0p%2B0,50,1.078,1.93992,1.8965544188821544,0.8698738483891386,defined,0.04985272427507908,sensitivity_only
