x_group_id,grid_index,x,full_prediction,without_group_prediction,s_ref,s_ref_status,normalized_delta,status
id:x%3A0x0.0p%2B0,0,0.0,1.75,1.4775570874119466,2.7244291258805347,defined,0.1,sensitivity_only
id:x%3A0x0.0p%2B0,1,0.018,1.75576,1.8915794245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,2,0.036,1.76152,1.6257005754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,3,0.054,1.76728,1.9030994245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,4,0.072,1.77304,1.6372205754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,5,0.09,1.7788,1.9146194245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,6,0.108,1.78456,1.6487405754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,7,0.126,1.79032,1.9261394245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,8,0.144,1.79608,1.6602605754424093,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,9,0.162,1.80184,1.9376594245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,10,0.18,1.8076,1.6717805754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,11,0.198,1.81336,1.9491794245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,12,0.216,1.81912,1.6833005754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,13,0.234,1.82488,1.9606994245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,14,0.252,1.83064,1.6948205754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,15,0.27,1.8364,1.9722194245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,16,0.288,1.84216,1.7063405754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,17,0.306,1.84792,1.9837394245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,18,0.324,1.85368,1.7178605754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,19,0.342,1.85944,1.9952594245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,20,0.36,1.8652,1.7293805754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,21,0.378,1.87096,2.0067794245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,22,0.396,1.87672,1.7409005754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,23,0.414,1.88248,2.0182994245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,24,0.432,1.88824,1.7524205754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,25,0.45,1.8940000000000001,2.0298194245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,26,0.468,1.8997600000000001,1.7639405754424096,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,27,0.486,1.90552,2.0413394245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,28,0.504,1.91128,1.7754605754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,29,0.522,1.91704,2.0528594245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,30,0.54,1.9228,1.7869805754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,31,0.558,1.92856,2.0643794245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,32,0.576,1.93432,1.7985005754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,33,0.594,1.94008,2.0758994245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,34,0.612,1.94584,1.8100205754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,35,0.63,1.9516,2.0874194245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,36,0.648,1.95736,1.8215405754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,37,0.666,1.96312,2.0989394245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,38,0.684,1.96888,1.8330605754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,39,0.702,1.97464,2.1104594245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,40,0.72,1.9804,1.8445805754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,41,0.738,1.98616,2.1219794245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,42,0.756,1.99192,1.8561005754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,43,0.774,1.99768,2.1334994245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,44,0.792,2.00344,1.8676205754424093,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,45,0.81,2.0092,2.1450194245575904,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,46,0.828,2.01496,1.8791405754424093,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,47,0.846,2.02072,2.1565394245575904,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,48,0.864,2.02648,1.8906605754424093,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,49,0.882,2.03224,2.1680594245575904,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,50,0.9,2.0380000000000003,1.9021805754424097,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,51,0.918,2.04376,2.1795794245575904,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,52,0.936,2.0495200000000002,1.9137005754424097,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,53,0.954,2.0552799999999998,2.1910994245575903,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,54,0.972,2.06104,1.9252205754424097,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,55,0.99,2.0668,2.2026194245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,56,1.0,2.07,1.9341805754424093,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,57,1.008,2.07256,2.2083794245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,58,1.026,2.07832,1.9425005754424096,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,59,1.044,2.08408,2.2198994245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,60,1.062,2.08984,1.9540205754424096,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,61,1.08,2.0956,2.2314194245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,62,1.098,2.10136,1.9655405754424096,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,63,1.116,2.10712,2.2429394245575907,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,64,1.134,2.11288,1.9770605754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,65,1.152,2.11864,2.2544594245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,66,1.17,2.1244,1.9885805754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,67,1.188,2.13016,2.2659794245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,68,1.206,2.13592,2.0001005754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,69,1.224,2.14168,2.2774994245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,70,1.242,2.14744,2.0116205754424095,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,71,1.26,2.1532,2.2890194245575906,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,72,1.278,2.15896,2.0231405754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,73,1.296,2.16472,2.3005394245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,74,1.314,2.17048,2.0346605754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,75,1.332,2.17624,2.3120594245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,76,1.35,2.182,2.0461805754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,77,1.368,2.18776,2.3235794245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,78,1.386,2.19352,2.0577005754424094,2.7244291258805347,defined,0.049852434503574676,sensitivity_only
id:x%3A0x0.0p%2B0,79,1.404,2.19928,2.3350994245575905,2.7244291258805347,defined,-0.049852434503574676,sensitivity_only
