trace_id,row_id,procedure,training_row_id,training_x_group_id,sample_residual,center_median,estimator,bin_count,target_bin_id,in_target_bin,raw_local_scale,local_floor,computed_scale,zero_tolerance,scale_status,scale_reason
id:scale-one%3Arow-01%3A001,id:row-01,one,id:row-02,id:x%3A0x1.0000000000000p%2B0,-2.4378669717400134,0.3506810375293261,qn_finite_sample,2,id:bin-1,true,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A002,id:row-01,one,id:row-03,id:x%3A0x1.0000000000000p%2B1,-1.9055078063340494,0.3506810375293261,qn_finite_sample,2,id:bin-1,true,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A003,id:row-01,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,-1.2463964586885683,0.3506810375293261,qn_finite_sample,2,id:bin-1,true,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A004,id:row-01,one,id:row-05,id:x%3A0x1.0000000000000p%2B2,-0.8407894755221195,0.3506810375293261,qn_finite_sample,2,id:bin-1,true,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A005,id:row-01,one,id:row-06,id:x%3A0x1.4000000000000p%2B2,-0.3084303101161545,0.3506810375293261,qn_finite_sample,2,id:bin-1,true,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A006,id:row-01,one,id:row-07,id:x%3A0x1.8000000000000p%2B2,0.3506810375293261,0.3506810375293261,qn_finite_sample,2,id:bin-1,true,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A007,id:row-01,one,id:row-08,id:x%3A0x1.c000000000000p%2B2,0.7562880206957754,0.3506810375293261,qn_finite_sample,2,id:bin-1,false,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A008,id:row-01,one,id:row-09,id:x%3A0x1.0000000000000p%2B3,1.2886471861017403,0.3506810375293261,qn_finite_sample,2,id:bin-1,false,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A009,id:row-01,one,id:row-10,id:x%3A0x1.2000000000000p%2B3,1.947758533747221,0.3506810375293261,qn_finite_sample,2,id:bin-1,false,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
id:scale-one%3Arow-01%3A010,id:row-01,one,id:row-11,id:x%3A0x1.4000000000000p%2B3,2.3533655169136702,0.3506810375293261,qn_finite_sample,2,id:bin-1,false,1.2733649281484714,1.0493013811105363,1.2733649281484714,1.1482370609883217e-13,defined,
