trace_id,row_id,procedure,training_row_id,training_x_group_id,sample_residual,center_median,estimator,bin_count,target_bin_id,in_target_bin,raw_local_scale,local_floor,computed_scale,zero_tolerance,scale_status,scale_reason
id:scale-one%3Arow-01%3A001,id:row-01,one,id:row-02,id:x%3A0x1.0000000000000p%2B0,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A002,id:row-01,one,id:row-03,id:x%3A0x1.0000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A003,id:row-01,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A004,id:row-01,one,id:row-05,id:x%3A0x1.0000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A005,id:row-01,one,id:row-06,id:x%3A0x1.4000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A006,id:row-01,one,id:row-07,id:x%3A0x1.8000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A007,id:row-01,one,id:row-08,id:x%3A0x1.c000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A008,id:row-01,one,id:row-09,id:x%3A0x1.0000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-01%3A009,id:row-01,one,id:row-10,id:x%3A0x1.2000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A001,id:row-01,two,id:row-02,id:x%3A0x1.0000000000000p%2B0,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A002,id:row-01,two,id:row-03,id:x%3A0x1.0000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A003,id:row-01,two,id:row-04,id:x%3A0x1.8000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A004,id:row-01,two,id:row-05,id:x%3A0x1.0000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A005,id:row-01,two,id:row-06,id:x%3A0x1.4000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A006,id:row-01,two,id:row-07,id:x%3A0x1.8000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A007,id:row-01,two,id:row-08,id:x%3A0x1.c000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A008,id:row-01,two,id:row-09,id:x%3A0x1.0000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-01%3A009,id:row-01,two,id:row-10,id:x%3A0x1.2000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A001,id:row-02,one,id:row-01,id:x%3A0x0.0p%2B0,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A002,id:row-02,one,id:row-03,id:x%3A0x1.0000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A003,id:row-02,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A004,id:row-02,one,id:row-05,id:x%3A0x1.0000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A005,id:row-02,one,id:row-06,id:x%3A0x1.4000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A006,id:row-02,one,id:row-07,id:x%3A0x1.8000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A007,id:row-02,one,id:row-08,id:x%3A0x1.c000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A008,id:row-02,one,id:row-09,id:x%3A0x1.0000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-02%3A009,id:row-02,one,id:row-10,id:x%3A0x1.2000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A001,id:row-02,two,id:row-01,id:x%3A0x0.0p%2B0,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A002,id:row-02,two,id:row-03,id:x%3A0x1.0000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A003,id:row-02,two,id:row-04,id:x%3A0x1.8000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A004,id:row-02,two,id:row-05,id:x%3A0x1.0000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A005,id:row-02,two,id:row-06,id:x%3A0x1.4000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A006,id:row-02,two,id:row-07,id:x%3A0x1.8000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A007,id:row-02,two,id:row-08,id:x%3A0x1.c000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A008,id:row-02,two,id:row-09,id:x%3A0x1.0000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-two%3Arow-02%3A009,id:row-02,two,id:row-10,id:x%3A0x1.2000000000000p%2B3,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-03%3A001,id:row-03,one,id:row-01,id:x%3A0x0.0p%2B0,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-03%3A002,id:row-03,one,id:row-02,id:x%3A0x1.0000000000000p%2B0,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-03%3A003,id:row-03,one,id:row-04,id:x%3A0x1.8000000000000p%2B1,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
id:scale-one%3Arow-03%3A004,id:row-03,one,id:row-05,id:x%3A0x1.0000000000000p%2B2,0.0,0.0,qn_finite_sample,1,id:bin-1,true,,,,5.684341886080802e-14,undefined,ZERO_OR_UNDEFINED_SCALE
