row_id,source_row_id,x,y,x_group_id,input_status,input_reason,pred_null_oof,pred_one_oof,resid_one_oof,pred_two_oof,resid_two_oof,p2_oof_fallback_code,pred_one_refit,pred_two_refit,segment_refit,residual_flags,influence_flags,robust_scale,z_median,score_median_abs_z,flag_rate,appearance_count,refit_residual,influence_dmax,influence_drms,influence_delta_c,action
id:row-01,id:2,0.0,4.0,id:x%3A0x0.0p%2B0,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-02,id:3,1.0,4.0,id:x%3A0x1.0000000000000p%2B0,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-03,id:4,2.0,4.0,id:x%3A0x1.0000000000000p%2B1,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-04,id:5,3.0,4.0,id:x%3A0x1.8000000000000p%2B1,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-05,id:6,4.0,4.0,id:x%3A0x1.0000000000000p%2B2,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-06,id:7,5.0,4.0,id:x%3A0x1.4000000000000p%2B2,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-07,id:8,6.0,4.0,id:x%3A0x1.8000000000000p%2B2,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-08,id:9,7.0,4.0,id:x%3A0x1.c000000000000p%2B2,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-09,id:10,8.0,4.0,id:x%3A0x1.0000000000000p%2B3,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
id:row-10,id:11,9.0,4.0,id:x%3A0x1.2000000000000p%2B3,USED,,4.0,4.0,0.0,4.0,0.0,COLLAPSED_SEGMENTS,4.0,,,,,,,,,10,0.0,,,,review_only
