appearance_id,repetition,outer_fold_id,row_id,x_group_id,y,pred_null_oof,pred_one_oof,resid_one_oof,pred_two_oof,resid_two_oof,scale_one_oof,z_one_oof,scale_two_oof,z_two_oof,p2_attempt_status,fallback_code
id:rep-001%3Arow-01,1,id:outer-01-fold-1,id:row-01,id:x%3A0x0.0p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-02,1,id:outer-01-fold-2,id:row-02,id:x%3A0x1.0000000000000p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-03,1,id:outer-01-fold-3,id:row-03,id:x%3A0x1.0000000000000p%2B1,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-04,1,id:outer-01-fold-4,id:row-04,id:x%3A0x1.8000000000000p%2B1,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-05,1,id:outer-01-fold-5,id:row-05,id:x%3A0x1.0000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-06,1,id:outer-01-fold-1,id:row-06,id:x%3A0x1.4000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-07,1,id:outer-01-fold-2,id:row-07,id:x%3A0x1.8000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-08,1,id:outer-01-fold-3,id:row-08,id:x%3A0x1.c000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-09,1,id:outer-01-fold-4,id:row-09,id:x%3A0x1.0000000000000p%2B3,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-001%3Arow-10,1,id:outer-01-fold-5,id:row-10,id:x%3A0x1.2000000000000p%2B3,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-01,2,id:outer-02-fold-2,id:row-01,id:x%3A0x0.0p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-02,2,id:outer-02-fold-3,id:row-02,id:x%3A0x1.0000000000000p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-03,2,id:outer-02-fold-4,id:row-03,id:x%3A0x1.0000000000000p%2B1,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-04,2,id:outer-02-fold-5,id:row-04,id:x%3A0x1.8000000000000p%2B1,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-05,2,id:outer-02-fold-1,id:row-05,id:x%3A0x1.0000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-06,2,id:outer-02-fold-2,id:row-06,id:x%3A0x1.4000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-07,2,id:outer-02-fold-3,id:row-07,id:x%3A0x1.8000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-08,2,id:outer-02-fold-4,id:row-08,id:x%3A0x1.c000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-09,2,id:outer-02-fold-5,id:row-09,id:x%3A0x1.0000000000000p%2B3,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-002%3Arow-10,2,id:outer-02-fold-1,id:row-10,id:x%3A0x1.2000000000000p%2B3,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-01,3,id:outer-03-fold-3,id:row-01,id:x%3A0x0.0p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-02,3,id:outer-03-fold-4,id:row-02,id:x%3A0x1.0000000000000p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-03,3,id:outer-03-fold-5,id:row-03,id:x%3A0x1.0000000000000p%2B1,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-04,3,id:outer-03-fold-1,id:row-04,id:x%3A0x1.8000000000000p%2B1,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-05,3,id:outer-03-fold-2,id:row-05,id:x%3A0x1.0000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-06,3,id:outer-03-fold-3,id:row-06,id:x%3A0x1.4000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-07,3,id:outer-03-fold-4,id:row-07,id:x%3A0x1.8000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-08,3,id:outer-03-fold-5,id:row-08,id:x%3A0x1.c000000000000p%2B2,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-09,3,id:outer-03-fold-1,id:row-09,id:x%3A0x1.0000000000000p%2B3,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-003%3Arow-10,3,id:outer-03-fold-2,id:row-10,id:x%3A0x1.2000000000000p%2B3,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-004%3Arow-01,4,id:outer-04-fold-4,id:row-01,id:x%3A0x0.0p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
id:rep-004%3Arow-02,4,id:outer-04-fold-5,id:row-02,id:x%3A0x1.0000000000000p%2B0,4.0,4.0,4.0,0.0,4.0,0.0,,,,,failed_with_p1_fallback,COLLAPSED_SEGMENTS
