series,x,y,domain_start,domain_end
p1,0,4,0,9
p1,0.089999999999999997,4,0,9
p1,0.17999999999999999,4,0,9
p1,0.27000000000000002,4,0,9
p1,0.35999999999999999,4,0,9
p1,0.45000000000000001,4,0,9
p1,0.54000000000000004,4,0,9
p1,0.63,4,0,9
p1,0.71999999999999997,4,0,9
p1,0.81000000000000005,4,0,9
p1,0.90000000000000002,4,0,9
p1,0.98999999999999999,4,0,9
p1,1.0800000000000001,4,0,9
p1,1.1699999999999999,4,0,9
p1,1.26,4,0,9
p1,1.3500000000000001,4,0,9
p1,1.4399999999999999,4,0,9
p1,1.53,4,0,9
p1,1.6200000000000001,4,0,9
p1,1.71,4,0,9
p1,1.8,4,0,9
p1,1.8899999999999999,4,0,9
p1,1.98,4,0,9
p1,2.0699999999999998,4,0,9
p1,2.1600000000000001,4,0,9
p1,2.25,4,0,9
p1,2.3399999999999999,4,0,9
p1,2.4300000000000002,4,0,9
p1,2.52,4,0,9
p1,2.6099999999999999,4,0,9
p1,2.7000000000000002,4,0,9
p1,2.79,4,0,9
p1,2.8799999999999999,4,0,9
p1,2.9700000000000002,4,0,9
p1,3.0600000000000001,4,0,9
p1,3.1499999999999999,4,0,9
p1,3.2400000000000002,4,0,9
p1,3.3300000000000001,4,0,9
p1,3.4199999999999999,4,0,9
p1,3.5099999999999998,4,0,9
p1,3.6000000000000001,4,0,9
p1,3.6899999999999999,4,0,9
p1,3.7799999999999998,4,0,9
p1,3.8700000000000001,4,0,9
p1,3.96,4,0,9
p1,4.0499999999999998,4,0,9
p1,4.1399999999999997,4,0,9
p1,4.2300000000000004,4,0,9
p1,4.3200000000000003,4,0,9
p1,4.4100000000000001,4,0,9
p1,4.5,4,0,9
p1,4.5899999999999999,4,0,9
p1,4.6799999999999997,4,0,9
p1,4.7699999999999996,4,0,9
p1,4.8600000000000003,4,0,9
p1,4.9500000000000002,4,0,9
p1,5.04,4,0,9
p1,5.1299999999999999,4,0,9
p1,5.2199999999999998,4,0,9
p1,5.3099999999999996,4,0,9
p1,5.4000000000000004,4,0,9
p1,5.4900000000000002,4,0,9
p1,5.5800000000000001,4,0,9
p1,5.6699999999999999,4,0,9
p1,5.7599999999999998,4,0,9
p1,5.8499999999999996,4,0,9
p1,5.9400000000000004,4,0,9
p1,6.0300000000000002,4,0,9
p1,6.1200000000000001,4,0,9
p1,6.21,4,0,9
p1,6.2999999999999998,4,0,9
p1,6.3899999999999997,4,0,9
p1,6.4800000000000004,4,0,9
p1,6.5700000000000003,4,0,9
p1,6.6600000000000001,4,0,9
p1,6.75,4,0,9
p1,6.8399999999999999,4,0,9
p1,6.9299999999999997,4,0,9
p1,7.0199999999999996,4,0,9
p1,7.1100000000000003,4,0,9
p1,7.2000000000000002,4,0,9
p1,7.29,4,0,9
p1,7.3799999999999999,4,0,9
p1,7.4699999999999998,4,0,9
p1,7.5599999999999996,4,0,9
p1,7.6500000000000004,4,0,9
p1,7.7400000000000002,4,0,9
p1,7.8300000000000001,4,0,9
p1,7.9199999999999999,4,0,9
p1,8.0099999999999998,4,0,9
p1,8.0999999999999996,4,0,9
p1,8.1899999999999995,4,0,9
p1,8.2799999999999994,4,0,9
p1,8.3699999999999992,4,0,9
p1,8.4600000000000009,4,0,9
p1,8.5500000000000007,4,0,9
p1,8.6400000000000006,4,0,9
p1,8.7300000000000004,4,0,9
p1,8.8200000000000003,4,0,9
p1,8.9100000000000001,4,0,9
p1,9,4,0,9
