x,y
0.000000000000000000e+00,1.499587351859559048e+00
1.694915254237288060e-01,1.608182615588357400e+00
3.389830508474576121e-01,1.690220024496086326e+00
5.084745762711864181e-01,1.785971722491641600e+00
6.779661016949152241e-01,1.884176746058435770e+00
8.474576271186440302e-01,1.983931600137833540e+00
1.016949152542372836e+00,2.071960654956849002e+00
1.186440677966101642e+00,2.150928828124689662e+00
1.355932203389830448e+00,2.251246086522086465e+00
1.525423728813559254e+00,2.334560784764997177e+00
1.694915254237288060e+00,2.422470710372371716e+00
1.864406779661016866e+00,2.490120893331559060e+00
2.033898305084745672e+00,2.569951525313385332e+00
2.203389830508474478e+00,2.652866368141065134e+00
2.372881355932203284e+00,2.728931350862826566e+00
2.542372881355932090e+00,2.797570999846848760e+00
2.711864406779660897e+00,2.885248808467903547e+00
2.881355932203389703e+00,2.954007767878323421e+00
3.050847457627118509e+00,3.028135295021423090e+00
3.220338983050847315e+00,3.113129252858711116e+00
3.389830508474576121e+00,3.186115447636913789e+00
3.559322033898304927e+00,3.263101238634928070e+00
3.728813559322033733e+00,3.319995281399291009e+00
3.898305084745762539e+00,3.399281287943203278e+00
4.067796610169491345e+00,3.442045549627233303e+00
4.237288135593219707e+00,3.529172875492660566e+00
4.406779661016948957e+00,3.596520766121762858e+00
4.576271186440678207e+00,3.659265777279444798e+00
4.745762711864406569e+00,3.732116065863352983e+00
4.915254237288134931e+00,3.783416856674221673e+00
5.084745762711864181e+00,3.870235235354352099e+00
5.254237288135593431e+00,3.925955518493590812e+00
5.423728813559321793e+00,3.980424241255411832e+00
5.593220338983050155e+00,4.042018885988547083e+00
5.762711864406779405e+00,4.109448916578294586e+00
5.932203389830508655e+00,4.171473857249844208e+00
6.101694915254237017e+00,4.230368670271167808e+00
6.271186440677965379e+00,4.291050361807545954e+00
6.440677966101694629e+00,4.345582018491993992e+00
6.610169491525423879e+00,4.411212002381923902e+00
6.779661016949152241e+00,4.458920692307096978e+00
6.949152542372880603e+00,4.528546093012993268e+00
7.118644067796609853e+00,4.583344338416107000e+00
7.288135593220339103e+00,4.644562452832348143e+00
7.457627118644067465e+00,4.707031739381201341e+00
7.627118644067795827e+00,4.754238452695189743e+00
7.796610169491525077e+00,4.800392403968965382e+00
7.966101694915254328e+00,4.868090044324246080e+00
8.135593220338982690e+00,4.921048259356871846e+00
8.305084745762711051e+00,4.970394789696244153e+00
8.474576271186439413e+00,5.028102112231166210e+00
8.644067796610169552e+00,5.077288546703390359e+00
8.813559322033897914e+00,5.138126772971100209e+00
8.983050847457626276e+00,5.190600834075096870e+00
9.152542372881356414e+00,5.239793937299255688e+00
9.322033898305084776e+00,5.290032273429541299e+00
9.491525423728813138e+00,5.341370039785836354e+00
9.661016949152541500e+00,5.399682520339403879e+00
9.830508474576269862e+00,5.451604207602496643e+00
1.000000000000000000e+01,5.486028084925296255e+00
