x,y
0.000000000000000000e+00,1.800315957505413955e+00
1.265822784810126667e-01,1.827247505226636815e+00
2.531645569620253333e-01,1.878323223881299020e+00
3.797468354430380000e-01,1.918119578485472543e+00
5.063291139240506666e-01,1.963138191875126726e+00
6.329113924050633333e-01,1.992736280379923341e+00
7.594936708860760000e-01,2.030562431600397844e+00
8.860759493670886666e-01,2.062501514160127059e+00
1.012658227848101333e+00,2.097682257760869806e+00
1.139240506329114000e+00,2.143296399504384997e+00
1.265822784810126667e+00,2.179548310777391862e+00
1.392405063291139333e+00,2.221070572772962048e+00
1.518987341772152000e+00,2.241788609194792503e+00
1.645569620253164667e+00,2.272502910142101040e+00
1.772151898734177333e+00,2.309485067519801760e+00
1.898734177215190000e+00,2.346425300087385146e+00
2.025316455696202667e+00,2.363944214959358359e+00
2.151898734177215111e+00,2.376362073039907763e+00
2.278481012658228000e+00,2.423614329893639230e+00
2.405063291139240889e+00,2.454224816092577033e+00
2.531645569620253333e+00,2.494618675954499487e+00
2.658227848101265778e+00,2.511558090560231715e+00
2.784810126582278667e+00,2.545858401178080932e+00
2.911392405063291555e+00,2.585357168148166629e+00
3.037974683544304000e+00,2.607313371140683511e+00
3.164556962025316444e+00,2.626032115615027696e+00
3.291139240506329333e+00,2.657718179253333535e+00
3.417721518987342222e+00,2.697251928311057423e+00
3.544303797468354666e+00,2.711446006954650212e+00
3.670886075949367111e+00,2.735261653835227236e+00
3.797468354430380000e+00,2.745730844064210530e+00
3.924050632911392889e+00,2.782267620044020173e+00
4.050632911392405333e+00,2.824276068907085158e+00
4.177215189873417778e+00,2.833988600965837712e+00
4.303797468354430222e+00,2.860837876324386020e+00
4.430379746835443555e+00,2.898838603618561827e+00
4.556962025316456000e+00,2.905590713434037298e+00
4.683544303797468444e+00,2.950079823121444456e+00
4.810126582278481777e+00,2.962432404953744047e+00
4.936708860759494222e+00,2.989765992325605026e+00
5.063291139240506666e+00,3.105422206673294383e+00
5.189873417721519111e+00,3.320809700694236088e+00
5.316455696202531556e+00,3.502748523585903939e+00
5.443037974683544888e+00,3.700413396249589759e+00
5.569620253164557333e+00,3.862751916861002055e+00
5.696202531645569778e+00,4.046280433788887798e+00
5.822784810126583110e+00,4.216551799766970809e+00
5.949367088607595555e+00,4.365285962639424255e+00
6.075949367088608000e+00,4.514655405662233889e+00
6.202531645569620444e+00,4.658782100527814052e+00
6.329113924050632889e+00,4.805418461089411508e+00
6.455696202531646222e+00,4.953441903292498338e+00
6.582278481012658666e+00,5.095679717135198850e+00
6.708860759493671111e+00,5.224890136760565795e+00
6.835443037974684444e+00,5.349103220071795839e+00
6.962025316455696888e+00,5.490125200739591982e+00
7.088607594936709333e+00,5.613364465137892445e+00
7.215189873417721778e+00,5.740133502141935296e+00
7.341772151898734222e+00,5.851726488267930293e+00
7.468354430379747555e+00,5.996420581344782619e+00
7.594936708860760000e+00,6.088707838595300181e+00
7.721518987341772444e+00,6.208033212987912108e+00
7.848101265822785777e+00,6.312066748650589254e+00
7.974683544303798222e+00,6.424433537314274467e+00
8.101265822784810666e+00,6.540530765040346139e+00
8.227848101265823999e+00,6.634265764972723467e+00
8.354430379746835555e+00,6.740569750613819799e+00
8.481012658227848888e+00,6.842363738599491541e+00
8.607594936708860445e+00,6.959271024775939729e+00
8.734177215189873777e+00,7.061646918548567520e+00
8.860759493670887110e+00,7.153074899906085804e+00
8.987341772151898667e+00,7.254805324946326017e+00
9.113924050632912000e+00,7.368282149512892509e+00
9.240506329113925332e+00,7.448883874670133132e+00
9.367088607594936889e+00,7.535164678179022246e+00
9.493670886075950222e+00,7.625075790569014522e+00
9.620253164556963554e+00,7.724085838127032311e+00
9.746835443037975111e+00,7.824274396184516256e+00
9.873417721518988444e+00,7.935073473454187898e+00
1.000000000000000000e+01,7.990971032917727257e+00
