x,y
0.0,10.023143
0.017287,10.441969
0.037252,10.910154
0.057926,11.416512
0.078933,11.898556
0.099686,12.363155
0.117885,12.772385
0.140544,13.244532
0.159469,13.629378
0.179598,14.043225
0.199578,14.45237
0.218135,14.832162
0.237213,15.21749
0.258133,15.633081
0.279308,16.058108
0.298343,16.430221
0.320113,16.866639
0.340254,17.265228
0.362548,17.684954
0.381772,18.034815
0.400869,18.381279
0.42142,18.743301
0.44068,19.088074
0.460551,19.42834
0.481588,19.781237
0.501284,20.104689
0.524,20.467617
0.543011,20.780225
0.561601,21.088453
0.581509,21.395981
0.602267,21.718958
0.625195,22.059221
0.643709,22.349338
0.664623,22.649517
0.686634,22.973229
0.706404,23.249396
0.728774,23.56019
0.750281,23.853685
0.771829,24.150023
0.790651,24.414324
0.807922,24.649507
0.830309,24.939718
0.848997,25.172532
0.868913,25.419139
0.888652,25.667691
0.906404,25.892663
0.924563,26.117251
0.944855,26.373777
0.966142,26.629819
0.982471,26.822967
1.004468,27.083156
1.026775,27.348982
1.047649,27.588903
1.067651,27.820094
1.087879,28.050958
1.103869,28.228841
1.123209,28.449157
1.142404,28.65461
1.160751,28.856542
1.179736,29.056748
1.19748,29.250047
1.218305,29.471122
1.239068,29.690305
1.258537,29.881999
1.278778,30.087004
1.29737,30.272702
1.31858,30.490316
1.33694,30.679842
1.355954,30.859969
1.37767,31.065953
1.397029,31.254721
1.4181,31.45719
1.435281,31.620267
1.45425,31.806324
1.47687,32.017712
1.499054,32.219213
1.520604,32.41883
1.539331,32.595616
1.559653,32.787215
1.579189,32.972843
1.598017,33.147609
1.616508,33.311929
1.637611,33.500241
1.656107,33.664814
1.675997,33.834523
1.69754,34.01658
1.719816,34.207156
1.739288,34.369891
1.75795,34.520424
1.776517,34.679063
1.796128,34.847901
1.813195,34.991546
1.831493,35.144138
1.850268,35.302589
1.869059,35.455353
1.889557,35.618836
1.909177,35.778679
1.928702,35.936141
1.945671,36.07101
1.965804,36.22938
1.988137,36.403931
2.006951,36.549716
2.022775,36.673747
2.039968,36.807141
2.059438,36.957275
2.079116,37.107506
2.097907,37.24695
2.116726,37.379884
2.138075,37.533595
2.160827,37.695285
2.180748,37.834384
2.200988,37.972873
2.220434,38.111567
2.240907,38.25266
2.259262,38.379114
2.277142,38.500178
2.297663,38.64202
2.316997,38.774566
2.336293,38.908626
2.356582,39.041515
2.374372,39.16403
2.39602,39.310094
2.414713,39.429271
2.435467,39.568366
2.45278,39.680791
2.469661,39.793572
2.489877,39.925868
2.511069,40.063889
2.533178,40.204636
2.552797,40.329026
2.572743,40.458324
2.593109,40.590198
2.612653,40.713952
2.631917,40.834592
2.654232,40.981624
2.675895,41.118586
2.696347,41.243466
2.71694,41.379468
2.736329,41.496044
2.754187,41.609834
2.775223,41.740686
2.792668,41.855572
2.813371,41.990417
2.83172,42.109344
2.852302,42.239255
2.87185,42.357421
2.891671,42.474219
2.913234,42.598906
2.934242,42.725131
2.955202,42.849268
2.973107,42.953042
2.992558,43.066378
3.013804,43.187652
3.03386,43.303603
3.051361,43.402924
3.072397,43.520365
3.091873,43.631563
3.114352,43.75982
3.135742,43.887196
3.158086,44.017964
3.178682,44.135132
3.198877,44.247883
3.220282,44.366816
3.240854,44.484945
3.258414,44.584514
3.278765,44.703497
3.297513,44.81161
3.314486,44.908391
3.335439,45.031333
3.354662,45.141027
3.375592,45.259363
3.396831,45.380784
3.41462,45.480979
3.433793,45.589826
3.4529,45.70026
3.472924,45.816661
3.493368,45.932738
3.5104,46.029979
3.530352,46.1422
3.548983,46.246979
3.566629,46.345959
3.58625,46.456782
3.604761,46.561674
3.627726,46.686855
3.646212,46.785563
3.66713,46.901495
3.686054,47.0032
3.705303,47.108018
3.724791,47.210366
3.745402,47.317224
3.764311,47.418429
3.785685,47.531537
3.806042,47.638271
3.825262,47.741465
3.845176,47.845596
3.863913,47.942246
3.882309,48.037036
3.906193,48.163844
3.925884,48.263065
3.945945,48.366792
3.965734,48.463146
3.985299,48.558279
4.00501,48.655268
4.025082,48.755684
4.04509,48.855331
4.068295,48.965484
4.089228,49.067878
4.108368,49.161423
4.125045,49.242209
4.144657,49.335637
4.163267,49.422939
4.183512,49.522018
4.201518,49.611065
4.222206,49.713193
4.243005,49.816343
4.264404,49.924443
4.288048,50.036933
4.310206,50.143052
4.329004,50.235673
4.347166,50.321161
4.366121,50.412763
4.384745,50.50123
4.405128,50.592936
4.424101,50.682243
4.444346,50.778417
4.466034,50.877476
4.48607,50.969238
4.506837,51.064202
4.528097,51.158631
4.550442,51.258364
4.57122,51.348072
4.593274,51.442347
4.614381,51.528405
4.63291,51.608088
4.650988,51.685143
4.673337,51.77863
4.692796,51.857324
4.711573,51.937615
4.730358,52.014331
4.749591,52.095297
4.768433,52.174886
4.789157,52.261103
4.806453,52.333121
4.826576,52.411215
4.848607,52.502679
4.865303,52.569508
4.885244,52.651948
4.904722,52.732769
4.926767,52.823724
4.950804,52.917118
4.969943,52.992617
4.990203,53.069889
5.01029,53.145626
5.030018,53.222734
5.049877,53.30179
5.072458,53.388914
5.092811,53.467261
5.113144,53.54503
5.132904,53.619505
5.153058,53.695919
5.172701,53.770428
5.193612,53.852793
5.214209,53.931413
5.235039,54.010131
5.251686,54.073365
5.272756,54.155501
5.291551,54.224675
5.310437,54.297206
5.330694,54.372028
5.348215,54.437014
5.367135,54.509756
5.383463,54.572383
5.404368,54.651231
5.425993,54.732356
5.446631,54.809851
5.464281,54.876416
5.48412,54.948433
5.503687,55.023137
5.527996,55.115214
5.546921,55.185976
5.565606,55.255313
5.585894,55.331463
5.605948,55.40388
5.62618,55.479503
5.645658,55.553406
5.666411,55.632547
5.686592,55.709217
5.705311,55.777408
5.723844,55.846617
5.744098,55.923233
5.767318,56.008437
5.786538,56.079969
5.80556,56.151225
5.826289,56.228355
5.846837,56.303497
5.867445,56.376394
5.888762,56.456718
5.909928,56.533283
5.929344,56.602661
5.952885,56.686009
5.974148,56.762601
5.992979,56.829139
6.010534,56.89033
6.029434,56.955612
6.050207,57.027841
6.070955,57.098987
6.091504,57.169786
6.113378,57.244972
6.132605,57.313106
6.151221,57.376804
6.168769,57.438454
6.187752,57.503436
6.208255,57.571384
6.22758,57.640617
6.250477,57.719105
6.271851,57.793327
6.293694,57.86824
6.311975,57.93274
6.333307,58.004252
6.353036,58.068974
6.374929,58.140842
6.396866,58.21491
6.414939,58.275132
6.437102,58.347893
6.458498,58.41637
6.480411,58.488135
6.497978,58.547025
6.516635,58.608805
6.535382,58.669922
6.557955,58.743517
6.577629,58.807332
6.596611,58.869811
6.617801,58.937478
6.640316,59.009564
6.661171,59.076372
6.682592,59.147483
6.701756,59.208043
6.721314,59.270599
6.74137,59.333042
6.760457,59.392987
6.780334,59.453747
6.794903,59.49732
6.814143,59.556933
6.836121,59.624537
6.857464,59.69274
6.878252,59.757253
6.900551,59.824603
6.918778,59.880138
6.941985,59.947802
6.961891,60.008216
6.984572,60.077221
7.004571,60.136689
7.026067,60.200461
7.045408,60.256406
7.066766,60.318694
7.086019,60.377306
7.104972,60.432742
7.125504,60.495461
7.142358,60.546839
7.163013,60.608941
7.180781,60.660786
7.201488,60.722657
7.222847,60.78672
7.242282,60.844521
7.260917,60.899508
7.278584,60.951282
7.296908,61.005838
7.317911,61.067678
7.338069,61.12476
7.358079,61.180654
7.378747,61.240702
7.396086,61.289458
7.416605,61.346215
7.43554,61.398382
7.457724,61.460565
7.475676,61.509855
7.495899,61.565473
7.512897,61.612008
7.532908,61.665849
7.551884,61.717636
7.57021,61.768871
7.589459,61.821921
7.60783,61.874151
7.627675,61.930403
7.645491,61.978455
7.664731,62.031798
7.685503,62.088241
7.705484,62.141233
7.72098,62.182868
7.740401,62.235301
7.759522,62.284878
7.780783,62.339845
7.80129,62.396044
7.819398,62.442504
7.841944,62.500911
7.860985,62.550321
7.880782,62.603148
7.900601,62.653979
7.917579,62.698158
7.937268,62.747594
7.957706,62.801262
7.978781,62.857254
7.999761,62.912967
8.019443,62.963696
8.037118,63.009139
8.057019,63.061689
8.076,63.110487
8.096451,63.162839
8.116973,63.216121
8.138603,63.273127
8.157213,63.320248
8.177228,63.373835
8.197386,63.428289
8.21833,63.483773
8.238234,63.536345
8.259012,63.590143
8.279665,63.644346
8.30272,63.706314
8.32342,63.763661
8.344413,63.819783
8.362552,63.866877
8.382159,63.919042
8.401747,63.970185
8.422512,64.024154
8.441861,64.073217
8.46041,64.122933
8.481225,64.176149
8.500662,64.226992
8.521518,64.281377
8.539775,64.329675
8.561366,64.384614
8.579908,64.43338
8.600758,64.488512
8.619613,64.536733
8.638882,64.589104
8.659625,64.642841
8.679026,64.69375
8.699071,64.744311
8.720695,64.800988
8.741131,64.85335
8.761288,64.906824
8.779458,64.953778
8.799129,65.001963
8.820917,65.056127
8.838796,65.101168
8.859042,65.152258
8.878471,65.199176
8.898101,65.245885
8.918653,65.296325
8.938695,65.343883
8.956076,65.385455
8.976829,65.432159
8.994213,65.47179
9.013548,65.518238
9.03334,65.564826
9.055853,65.617396
9.076933,65.667857
9.099231,65.719866
9.118674,65.764518
9.139329,65.811125
9.160486,65.860762
9.17904,65.903736
9.199534,65.949385
9.218682,65.992935
9.237673,66.03493
9.256223,66.077394
9.27831,66.128233
9.298622,66.174824
9.319009,66.221828
9.339022,66.267533
9.358881,66.312068
9.377771,66.353181
9.399894,66.403352
9.423103,66.454407
9.446305,66.505188
9.469137,66.555332
9.489061,66.598474
9.511466,66.645877
9.531255,66.689813
9.55308,66.736386
9.573409,66.779373
9.593363,66.820928
9.614149,66.865078
9.634762,66.910138
9.655804,66.956318
9.675715,66.999786
9.695722,67.041808
9.71503,67.082285
9.737294,67.129706
9.75771,67.172138
9.777365,67.213047
9.796251,67.253183
9.815331,67.292408
9.83646,67.336228
9.856118,67.375959
9.877039,67.419753
9.898876,67.465566
9.920864,67.512158
9.940939,67.553448
9.960957,67.593775
9.980471,67.633371
10.000145,67.672442
10.02116,67.716085
10.039172,67.752946
10.058388,67.791353
10.076986,67.827815
10.096643,67.868261
10.114289,67.904814
10.132928,67.941888
10.155942,67.987908
10.174072,68.023837
10.198116,68.073675
10.218527,68.113979
10.241659,68.15893
10.259933,68.195856
10.278669,68.232786
10.298359,68.273273
10.320046,68.315779
10.340938,68.356476
10.360707,68.396877
10.380412,68.436104
10.400966,68.475553
10.420613,68.514958
10.442375,68.560652
10.462223,68.598849
10.484885,68.645361
10.505389,68.687971
10.523384,68.724647
10.544005,68.768305
10.565334,68.812555
10.58537,68.853278
10.607945,68.899898
10.629806,68.946428
10.648617,68.984888
10.667845,69.025458
10.689105,69.070224
10.708087,69.109144
10.726943,69.147728
10.747083,69.188244
10.766199,69.226666
10.787391,69.268625
10.809458,69.313271
10.826454,69.348185
10.84511,69.386525
10.865272,69.429445
10.886243,69.471391
10.907029,69.514933
10.926955,69.556109
10.94508,69.596007
10.963672,69.635682
10.982845,69.674868
11.00124,69.711417
11.020991,69.752488
11.040193,69.792388
11.058849,69.829955
11.076731,69.866348
11.097369,69.906651
11.115592,69.943922
11.133179,69.979102
11.152952,70.019177
11.171301,70.055341
11.194416,70.100498
11.213551,70.136972
11.229543,70.167205
11.247066,70.19924
11.26684,70.23581
11.287188,70.274053
11.308907,70.317057
11.330838,70.357434
11.351505,70.396862
11.375168,70.443492
11.393316,70.477908
11.412921,70.515791
11.434196,70.555217
11.452498,70.590111
11.47102,70.624934
11.493754,70.667309
11.512476,70.701502
11.53239,70.739397
11.554198,70.781073
11.576848,70.823734
11.59465,70.857871
11.617378,70.899087
11.635757,70.931975
11.656394,70.969406
11.677515,71.006441
11.696328,71.040805
11.718878,71.082012
11.738566,71.116924
11.761046,71.156888
11.780902,71.193052
11.800557,71.227861
11.8229,71.266702
11.841985,71.298582
11.865981,71.339197
11.886315,71.375063
11.907894,71.412764
11.926352,71.445629
11.944341,71.476651
11.963857,71.511161
11.983767,71.546138
12.002137,71.577385
12.021683,71.61186
12.044526,71.653239
12.063944,71.688376
12.082778,71.720928
12.102544,71.754704
12.124485,71.793765
12.142959,71.825855
12.160649,71.858278
12.180739,71.893474
12.203806,71.935377
12.224555,71.97207
12.242716,72.005101
12.260866,72.038203
12.28175,72.074309
12.301826,72.110153
12.320775,72.145612
12.341953,72.183657
12.361716,72.220285
12.380863,72.254867
12.40146,72.292636
12.420289,72.326475
12.441286,72.363656
12.461761,72.401787
12.48144,72.438513
12.50226,72.477521
12.521311,72.511565
12.544843,72.553035
12.563396,72.586879
12.580917,72.619355
12.602571,72.658451
12.621717,72.691909
12.640865,72.726011
12.661504,72.763906
12.680235,72.796136
12.701509,72.833266
12.718542,72.861962
12.737965,72.895368
12.761135,72.936188
12.779195,72.966473
12.799761,73.001691
12.821875,73.040008
12.840127,73.070838
12.863306,73.111372
12.882694,73.145302
12.901789,73.179902
12.920005,73.211771
12.939283,73.243659
12.96209,73.282057
12.98249,73.316217
13.001168,73.347268
13.020532,73.380824
13.038766,73.412853
13.057287,73.444165
13.075797,73.475803
13.091598,73.502326
13.111575,73.535512
13.133528,73.57278
13.151746,73.603488
13.172043,73.638895
13.191028,73.671966
13.211243,73.706451
13.233555,73.744375
13.255812,73.783264
13.274505,73.814959
13.295562,73.852177
13.315519,73.888417
13.333873,73.920638
13.353402,73.954016
13.372174,73.985984
13.390897,74.017994
13.40853,74.04856
13.429091,74.084265
13.448572,74.117877
13.467892,74.152068
13.488504,74.188
13.508591,74.223907
13.52939,74.260103
13.548729,74.29387
13.569733,74.33107
13.588367,74.362651
13.607926,74.396386
13.627948,74.431103
13.645282,74.461132
13.667017,74.497813
13.685625,74.530437
13.704534,74.564481
13.725958,74.602221
13.746386,74.636421
13.76631,74.670538
13.785516,74.703406
13.807746,74.741778
13.827189,74.774531
13.844956,74.804125
13.863317,74.835309
13.883692,74.869293
13.903469,74.902008
13.92199,74.933415
13.942797,74.967972
13.96321,75.002031
13.981694,75.03371
14.003902,75.069968
14.024569,75.104582
14.045174,75.139344
14.065621,75.172812
14.085187,75.205112
14.105737,75.237473
14.122291,75.264758
14.140571,75.294546
14.160403,75.326926
14.182245,75.362429
14.202302,75.393289
14.222762,75.426147
14.243751,75.45939
14.264683,75.491704
14.284508,75.521522
14.303854,75.551363
14.321173,75.576885
14.343809,75.610287
14.364433,75.641417
14.383511,75.669855
14.40381,75.700406
14.422087,75.726423
14.444836,75.759177
14.465612,75.79131
14.487316,75.823445
14.510116,75.857869
14.528058,75.883359
14.550503,75.917596
14.572739,75.95131
14.592559,75.981901
14.610771,76.008674
14.631402,76.03952
14.652748,76.070567
14.672239,76.101155
14.69576,76.135515
14.714205,76.164186
14.732918,76.191496
14.757406,76.227962
14.778688,76.260324
14.798967,76.291215
14.816364,76.317757
14.835509,76.34722
14.852946,76.373496
14.870094,76.400124
14.888685,76.428406
14.908396,76.458566
14.927596,76.486353
14.947351,76.515217
14.968254,76.547107
14.990012,76.580693
15.009375,76.610391
15.029025,76.639116
15.048423,76.666792
15.069013,76.697721
15.08946,76.728199
15.110675,76.757589
15.132025,76.787811
15.152019,76.815851
15.170884,76.843117
15.191428,76.871888
15.211375,76.898396
15.230823,76.926022
15.250443,76.952381
15.270817,76.979575
15.292117,77.008847
15.313701,77.037018
15.333643,77.063517
15.355248,77.092822
15.373274,77.11687
15.391069,77.140488
15.411395,77.168599
15.430792,77.194085
15.449136,77.218637
15.468785,77.245356
15.48928,77.274256
15.508858,77.30254
15.52784,77.329306
15.548515,77.357701
15.57029,77.387604
15.587518,77.410893
15.605672,77.435186
15.62662,77.464351
15.646164,77.491228
15.665823,77.518866
15.68648,77.547951
15.7071,77.576805
15.72653,77.605002
15.747364,77.63514
15.767273,77.664049
15.78677,77.692497
15.807463,77.72235
15.82426,77.747207
15.846232,77.780157
15.867021,77.809803
15.884693,77.834442
15.907663,77.866391
15.927362,77.893991
15.946842,77.921347
15.967391,77.950292
15.991801,77.984083
16.015545,78.016583
16.036903,78.04647
16.056759,78.073463
16.076975,78.101266
16.096845,78.128278
16.115738,78.15254
16.135327,78.178257
16.154725,78.203479
16.176279,78.233382
16.199519,78.264461
16.218119,78.288892
16.238147,78.315331
16.258526,78.343275
16.278911,78.370103
16.298585,78.397641
16.318817,78.423679
16.34412,78.456394
16.365943,78.485551
16.384666,78.509836
16.402982,78.533792
16.422201,78.560205
16.440747,78.585843
16.4583,78.60879
16.477594,78.63383
16.500219,78.664937
16.521485,78.692735
16.540205,78.717169
16.559802,78.743639
16.577912,78.767874
16.596624,78.792289
16.619981,78.823767
16.643087,78.854244
16.665476,78.883404
16.685061,78.90965
16.706158,78.93849
16.728913,78.968086
16.747478,78.992329
16.768797,79.019372
16.787991,79.044103
16.807847,79.069757
16.825532,79.092804
